"","Soil_Type",".","CT","MP","p","d","Corrected_size","Genome","till2","till3","lg","p2"
"1","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,9634577.3614,"GCA_000517005.1_dataset","CT",0,6.98383266827662,"*****"
"2","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,10209758.4705,"GCA_000715605.1_dataset","MP",1,7.00901546822111,"*****"
"3","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,11842339.8862,"GCA_000715615.1_dataset","MP",1,7.07343752158155,"*****"
"4","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,12464716.473,"GCA_000715635.1_dataset","MP",1,7.09568240433101,"*****"
"5","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,8609095.052,"GCA_000715685.1_dataset","MP",1,6.93495750283833,"*****"
"6","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,7401748.9945,"GCA_000716465.1_dataset","MP",1,6.86933435336759,"*****"
"7","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,8106522.3124,"GCA_000717735.1_dataset","MP",1,6.90883458239177,"*****"
"8","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,8117171.3538,"GCA_000719105.1_dataset","MP",1,6.90940471403712,"*****"
"9","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,8230730.9908,"GCA_000720555.1_dataset","MP",1,6.91543840765126,"*****"
"10","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,8392917,"GCA_000720845.1_dataset","MP",1,6.92391292826976,"*****"
"11","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,7477107.636,"GCA_000721275.1_dataset","MP",1,6.87373363253706,"*****"
"12","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,9784577,"GCA_000963515.1_dataset","MP",1,6.99054205528408,"*****"
"13","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,5834578.3849,"GCA_001464655.1_dataset","CT",0,6.7660094787658,"*****"
"14","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,5004823.8996,"GCA_001464855.1_dataset","CT",0,6.69938880094072,"*****"
"15","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,5026722,"GCA_001549895.1_dataset","MP",1,6.70128486748301,"*****"
"16","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,3278769.2872,"GCA_001567505.1_dataset","MP",1,6.51571085832198,"*****"
"17","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,5016783.2715,"GCA_001956915.1_dataset","MP",1,6.70042533961163,"*****"
"18","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,3157361.991,"GCA_002083435.1_dataset","CT",0,6.49932437653313,"*****"
"19","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,3157361.991,"GCA_002083435.1_dataset","MP",1,6.49932437653313,"*****"
"20","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,7303353.2858,"GCA_002154585.1_dataset","MP",1,6.86352230931768,"*****"
"21","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,11302833.554,"GCA_002200945.1_dataset","CT",0,7.05318733220924,"*****"
"22","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,10990489.9391,"GCA_002214185.1_dataset","MP",1,7.04101705303358,"*****"
"23","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,3471236,"GCA_002256425.1_dataset","CT",0,6.54048414118899,"*****"
"24","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,2321893.9395,"GCA_002280615.1_dataset","CT",0,6.36584237795988,"*****"
"25","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,2177873,"GCA_002291925.1_dataset","CT",0,6.33803255080666,"*****"
"26","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,2177873,"GCA_002291925.1_dataset","MP",1,6.33803255080666,"*****"
"27","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,2580091.0395,"GCA_002325245.1_dataset","CT",0,6.41163503048064,"*****"
"28","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,8032664,"GCA_002355495.1_dataset","MP",1,6.90485960114767,"*****"
"29","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,4151881.8528,"GCA_002370555.1_dataset","MP",1,6.61824498660171,"*****"
"30","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,4437404,"GCA_002400415.1_dataset","MP",1,6.64712897052033,"*****"
"31","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,5507092.1757,"GCA_002427845.1_dataset","MP",1,6.74092234560474,"*****"
"32","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,8074254,"GCA_002551355.1_dataset","MP",1,6.90710240733133,"*****"
"33","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,1575881.1096,"GCA_002748455.1_dataset","CT",0,6.19752344957972,"*****"
"34","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,1575881.1096,"GCA_002748455.1_dataset","MP",1,6.19752344957972,"*****"
"35","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,6466763,"GCA_002754355.1_dataset","MP",1,6.81068694480698,"*****"
"36","RAS",0.166264190496963,6.66558742455095,6.80475018564588,4.630157721932e-94,0.836997796572865,4518809.4468,"GCA_003134785.1_dataset","CT",0,6.65502402799902,"*****"
